Rat,diet,feeding_schedule,liver_weight,total_abdominal_fat,total_gonadal_fat,total_fat_pad,final_BW, Leptin,Cholesterol,triglyceride (mg/mL),GSP (umol/L),Adiponectin
1,control,ad lib,17.2,4.6,3.9,8.5,380,1.637628134,82.05314283,0.94269103,112.2407423,4.988413437
2,control,ad lib,14,5.4,3.4,8.8,318,2.032942932,103.3454145,1.254152824,121.7592688,4.256735856
3,control,ad lib,13.6,5.5,3.5,9,351,1.555636949,55.86956624,0.22826087,144.6481512,6.666516019
4,control,ad lib,14.5,5.2,4.7,9.9,357,2.997071815,96.80756718,0.407608696,155.2222518,3.853353806
5,control,ad lib,13.5,7.4,5.6,13,363,2.704245889,81.77134052,0.619565217,221.9166649,4.382227438
6,control,ad lib,14.8,8.3,3.7,12,340,2.445095115,102.8301126,1.324750831,149.5740467,4.488248419
7,control,ad lib,11.5,3.5,3.8,7.3,306,1.144216652,71.72705564,0.490033223,106.9074208,6.882319824
8,control,ad lib,9.5,3.5,2.5,6,265,2.366764287,59.25926127,0.380434783,132.8610974,4.337653489
9,control,ad lib,14.6,9.5,6.3,15.8,358,2.869692576,60.74074384,0.766304348,113.8426171,5.060729253
10,control,restriction,14.2,6.2,4.8,11,340,2.55490481,52.65297663,1.22923588,108.8703687,9.359150933
11,control,restriction,11.4,2.8,2.5,5.3,264,2.199121532,55.86553981,0.863787375,116.157398,8.898367574
12,control,restriction,11.3,3.9,3.8,7.7,313,1.190336755,45.57165928,0.456521739,152.1203633,9.119705835
13,control,restriction,12.1,6.2,5.5,11.7,324,1.245973584,95.64412003,0.75,156.1851924,7.945450843
14,control,restriction,11,4,3.8,7.8,296,1.484626643,91.01046358,0.586956522,155.9999855,6.300125001
15,control,restriction,15,7.5,4.2,11.7,351,1.259150857,110.5394503,0.714285714,82.35184758,6.224513008
16,control,restriction,12.3,7.1,3.5,10.6,280,2.520497745,96.79146625,0.764119601,154.1666798,6.372295654
17,control,restriction,9.1,6.6,4.1,10.7,311,1.415812677,81.84380191,0.804347826,125.027786,6.30274227
18,control,restriction,12.4,4.1,3.5,7.6,336,0.8352855,68.02737327,0.184782609,75.13888393,8.140051515
20,HFHS,ad lib,15.6,7.5,5.5,13,314,3.100292764,61.17955304,4.754983389,69.78701392,8.019702507
21,HFHS,ad lib,20.6,13.9,11.2,25.1,382,2.936310475,16.19967811,2.284053156,90.13891088,6.426892156
22,HFHS,ad lib,14.7,20.4,6.4,26.8,378,5.166910783,44.52898352,1.836956522,83.09258775,6.825653992
23,HFHS,ad lib,14.5,11.8,6.8,18.6,351,2.790629617,33.55877505,1.673913043,204.9629405,5.338034827
24,HFHS,ad lib,24,9.7,12.1,21.8,424,4.653001423,59.3719822,2.809782609,,9.374640164
25,HFHS,ad lib,14.9,6.1,5,11.1,333,2.453147905,40.80112571,3.143687708,67.96295864,3.582970604
26,HFHS,ad lib,14.7,4.5,4,8.5,383,1.708638385,43.81240084,2.820652174,79.43519156,4.908496438
27,HFHS,ad lib,14.3,8,4.8,12.8,363,2.300146442,47.37520369,5.663043478,87.19441522,8.494340807
28,HFHS,restriction,15.3,8.3,4.9,13.2,359,1.8872621,18.67149761,2.969269103,45.52778829,6.85168081
29,HFHS,restriction,18,7.9,4.5,12.4,387,1.901903337,42.26248091,1.760797342,63.08331678,7.323282582
30,HFHS,restriction,13.7,9.2,10.2,19.4,378,1.761346988,28.86071007,1.260869565,95.25926583,5.241683647
31,HFHS,restriction,13.8,11.1,6.4,17.5,326,1.5614934,23.30112762,0.809782609,104.6574365,5.716959178
32,HFHS,restriction,20.1,10,5.8,15.8,406,1.224011716,39.42028957,3.218438538,17.77782215,5.172872392
33,HFHS,restriction,14.7,5.5,4.4,9.9,370,1.262811132,45.59983712,2.782392027,6.481541589,6.429370013
34,HFHS,restriction,11.6,7.7,5,12.7,365,1.740117143,34.27938656,0.793478261,103.9537278,6.046995404
35,HFHS,restriction,11.4,6.4,4.1,10.5,339,0.958272277,31.55797142,1.157608696,88.50926884,1.931780364
36,HFHS,restriction,10.9,8.5,6.3,14.8,321,1.289897511,12.00483087,0.826086957,112.9537049,3.401807203
