,light_food,dark_food,group
2,2119,5022,control ad lib
3,1071,3318,control ad lib
4,2600,3987,control ad lib
5,591,2145,control ad lib
6,1812,3949,control ad lib
7,2391,4661,control ad lib
8,1199,3383,control ad lib
9,1099,2676,control ad lib
10,0,1524,control restriction
11,0,502,control restriction
12,0,2075,control restriction
13,0,2129,control restriction
14,0,2810,control restriction
15,0,1474,control restriction
16,0,2209,control restriction
17,0,5736,control restriction
18,0,1139,control restriction
21,144,2626,HFHS ad lib
22,456,2776,HFHS ad lib
23,420,2873,HFHS ad lib
26,388,778,HFHS ad lib
27,76,1357,HFHS ad lib
29,0,2282,HFHS restriction
30,0,1612,HFHS restriction
31,0,1822,HFHS restriction
32,0,840,HFHS restriction
33,0,914,HFHS restriction
35,0,2562,HFHS restriction
36,0,1708,HFHS restriction
