,df,sum_sq,mean_sq,F,PR(>F),group1,group2,meandiff,p-adj,lower,upper,reject
C(Diet),1.0,14.421008403361448,14.421008403361448,0.6405893039644706,0.42958880542754263,,,,,,,17-Sep
C(Feeding),1.0,24.264705882353034,24.264705882353034,1.0778518822897283,0.3072091075442664,,,,,,,Day: 1
C(Diet):C(Feeding),1.0,4.124999999999989,4.124999999999989,0.18323481998925262,0.6715672776908898,,,,,,,
Residual,31.0,697.875,22.512096774193548,,,,,,,,,
,,,,,,HFHS ad lib,HFHS restriction,-2.375,0.7118,-8.6321,3.8821,False
,,,,,,HFHS ad lib,control ad lib,-2.0417,0.7915,-8.2988,4.2154,False
,,,,,,HFHS ad lib,control restriction,-3.0417,0.5524,-9.2988,3.2154,False
,,,,,,HFHS restriction,control ad lib,0.3333,0.9,-5.7369,6.4036,False
,,,,,,HFHS restriction,control restriction,-0.6667,0.9,-6.7369,5.4036,False
,,,,,,control ad lib,control restriction,-1.0,0.9,-7.0703,5.0703,False
C(Diet),1.0,105.10933706816034,105.10933706816034,4.294339117646279,0.04664462921072249,,,,,,,18-Sep
C(Feeding),1.0,11.92404436522094,11.92404436522094,0.487167853840734,0.4903960873346749,,,,,,,Day: 2
C(Diet):C(Feeding),1.0,10.374158249158215,10.374158249158215,0.4238458240215471,0.5198212991178093,,,,,,,
Residual,31.0,758.7638888888889,24.476254480286737,,,,,,,,,
,,,,,,HFHS ad lib,HFHS restriction,-2.2917,0.7541,-8.816,4.2327,False
,,,,,,HFHS ad lib,control ad lib,-4.625,0.2391,-11.1494,1.8994,False
,,,,,,HFHS ad lib,control restriction,-4.7361,0.2211,-11.2605,1.7882,False
,,,,,,HFHS restriction,control ad lib,-2.3333,0.7281,-8.6629,3.9962,False
,,,,,,HFHS restriction,control restriction,-2.4444,0.7019,-8.774,3.8851,False
,,,,,,control ad lib,control restriction,-0.1111,0.9,-6.4407,6.2184,False
C(Diet),1.0,141.9504201680678,141.9504201680678,5.289018059146757,0.02835617967051616,,,,,,,19-Sep
C(Feeding),1.0,17.220142602495756,17.220142602495756,0.6416158902372217,0.42922312526991524,,,,,,,Day: 3
C(Diet):C(Feeding),1.0,1.5151515151514885,1.5151515151514885,0.05645396270396171,0.8137543861153078,,,,,,,
Residual,31.0,832.0,26.838709677419356,,,,,,,,,
,,,,,,HFHS ad lib,HFHS restriction,-1.8333,0.8781,-8.6653,4.9986,False
,,,,,,HFHS ad lib,control ad lib,-4.5,0.2985,-11.332,2.332,False
,,,,,,HFHS ad lib,control restriction,-5.5,0.1499,-12.332,1.332,False
,,,,,,HFHS restriction,control ad lib,-2.6667,0.6777,-9.2946,3.9613,False
,,,,,,HFHS restriction,control restriction,-3.6667,0.4501,-10.2946,2.9613,False
,,,,,,control ad lib,control restriction,-1.0,0.9,-7.628,5.628,False
C(Diet),1.0,184.84117647058872,184.84117647058872,6.068656956626715,0.019512488646952413,,,,,,,20-Sep
C(Feeding),1.0,23.680035650624035,23.680035650624035,0.7774567108276016,0.38470594756767607,,,,,,,Day: 4
C(Diet):C(Feeding),1.0,1.6704545454545423,1.6704545454545423,0.054843924884964444,0.8163789979459524,,,,,,,
Residual,31.0,944.2083333333335,30.45833333333334,,,,,,,,,
,,,,,,HFHS ad lib,HFHS restriction,-2.0972,0.8485,-9.3753,5.1809,False
,,,,,,HFHS ad lib,control ad lib,-5.0972,0.2486,-12.3753,2.1809,False
,,,,,,HFHS ad lib,control restriction,-6.3194,0.1072,-13.5975,0.9587,False
,,,,,,HFHS restriction,control ad lib,-3.0,0.644,-10.0608,4.0608,False
,,,,,,HFHS restriction,control restriction,-4.2222,0.382,-11.283,2.8386,False
,,,,,,control ad lib,control restriction,-1.2222,0.9,-8.283,5.8386,False
C(Diet),1.0,348.51764705882306,348.51764705882306,9.829928454353864,0.0037422283972406187,,,,,,,21-Sep
C(Feeding),1.0,28.66349772232157,28.66349772232157,0.808452984346013,0.3755094424668717,,,,,,,Day: 5
C(Diet):C(Feeding),1.0,2.1216329966329397,2.1216329966329397,0.05984058695248273,0.808360062968625,,,,,,,
Residual,31.0,1099.0972222222222,35.45474910394265,,,,,,,,,
,,,,,,HFHS ad lib,HFHS restriction,-2.3194,0.8377,-10.1718,5.533,False
,,,,,,HFHS ad lib,control ad lib,-6.875,0.103,-14.7274,0.9774,False
,,,,,,HFHS ad lib,control restriction,-8.2083,0.0378,-16.0607,-0.3559,True
,,,,,,HFHS restriction,control ad lib,-4.5556,0.3819,-12.1735,3.0624,False
,,,,,,HFHS restriction,control restriction,-5.8889,0.1761,-13.5068,1.7291,False
