,Day,group1,group2,p_value
0,17-Sep,control ad lib,control restriction,0.3951169803969092
1,17-Sep,control ad lib,HFHS ad lib,0.21844363805141337
2,17-Sep,control ad lib,HFHS restriction,0.48223557312203835
3,17-Sep,control restriction,control ad lib,0.3951169803969092
4,17-Sep,control restriction,HFHS ad lib,0.11366607187053074
5,17-Sep,control restriction,HFHS restriction,0.4468750634909293
6,17-Sep,HFHS ad lib,control ad lib,0.21844363805141337
7,17-Sep,HFHS ad lib,control restriction,0.11366607187053074
8,17-Sep,HFHS ad lib,HFHS restriction,0.1226499039842881
9,17-Sep,HFHS restriction,control ad lib,0.48223557312203835
10,17-Sep,HFHS restriction,control restriction,0.4468750634909293
11,17-Sep,HFHS restriction,HFHS ad lib,0.1226499039842881
12,18-Sep,control ad lib,control restriction,0.4296577077235171
13,18-Sep,control ad lib,HFHS ad lib,0.08043472474366742
14,18-Sep,control ad lib,HFHS restriction,0.11528274202147487
15,18-Sep,control restriction,control ad lib,0.4296577077235171
16,18-Sep,control restriction,HFHS ad lib,0.036811086791971204
17,18-Sep,control restriction,HFHS restriction,0.1243943730680967
18,18-Sep,HFHS ad lib,control ad lib,0.08043472474366742
19,18-Sep,HFHS ad lib,control restriction,0.036811086791971204
20,18-Sep,HFHS ad lib,HFHS restriction,0.11193476434856203
21,18-Sep,HFHS restriction,control ad lib,0.11528274202147487
22,18-Sep,HFHS restriction,control restriction,0.1243943730680967
23,18-Sep,HFHS restriction,HFHS ad lib,0.11193476434856203
24,19-Sep,control ad lib,control restriction,0.36148533824902995
25,19-Sep,control ad lib,HFHS ad lib,0.0809521515114407
26,19-Sep,control ad lib,HFHS restriction,0.1434071503920517
27,19-Sep,control restriction,control ad lib,0.36148533824902995
28,19-Sep,control restriction,HFHS ad lib,0.037167770961247924
29,19-Sep,control restriction,HFHS restriction,0.09163949054870602
30,19-Sep,HFHS ad lib,control ad lib,0.0809521515114407
31,19-Sep,HFHS ad lib,control restriction,0.037167770961247924
32,19-Sep,HFHS ad lib,HFHS restriction,0.17898993805907432
33,19-Sep,HFHS restriction,control ad lib,0.1434071503920517
34,19-Sep,HFHS restriction,control restriction,0.09163949054870602
35,19-Sep,HFHS restriction,HFHS ad lib,0.17898993805907432
36,20-Sep,control ad lib,control restriction,0.3615543143720771
37,20-Sep,control ad lib,HFHS ad lib,0.08082291926226842
38,20-Sep,control ad lib,HFHS restriction,0.1416362112889049
39,20-Sep,control restriction,control ad lib,0.3615543143720771
40,20-Sep,control restriction,HFHS ad lib,0.026335713107882863
41,20-Sep,control restriction,HFHS restriction,0.05745429176641271
42,20-Sep,HFHS ad lib,control ad lib,0.08082291926226842
43,20-Sep,HFHS ad lib,control restriction,0.026335713107882863
44,20-Sep,HFHS ad lib,HFHS restriction,0.23276179011541404
45,20-Sep,HFHS restriction,control ad lib,0.1416362112889049
46,20-Sep,HFHS restriction,control restriction,0.05745429176641271
47,20-Sep,HFHS restriction,HFHS ad lib,0.23276179011541404
48,21-Sep,control ad lib,control restriction,0.34463599410591533
49,21-Sep,control ad lib,HFHS ad lib,0.037078584142414085
50,21-Sep,control ad lib,HFHS restriction,0.05891346395170975
51,21-Sep,control restriction,control ad lib,0.34463599410591533
52,21-Sep,control restriction,HFHS ad lib,0.011360270219492725
53,21-Sep,control restriction,HFHS restriction,0.006099870580000317
54,21-Sep,HFHS ad lib,control ad lib,0.037078584142414085
55,21-Sep,HFHS ad lib,control restriction,0.011360270219492725
56,21-Sep,HFHS ad lib,HFHS restriction,0.2967271410104349
57,21-Sep,HFHS restriction,control ad lib,0.05891346395170975
58,21-Sep,HFHS restriction,control restriction,0.006099870580000317
59,21-Sep,HFHS restriction,HFHS ad lib,0.2967271410104349
60,22-Sep,control ad lib,control restriction,0.4469855464234003
61,22-Sep,control ad lib,HFHS ad lib,0.033418133572602475
62,22-Sep,control ad lib,HFHS restriction,0.060752531772436315
63,22-Sep,control restriction,control ad lib,0.4469855464234003
64,22-Sep,control restriction,HFHS ad lib,0.003915666832198256
65,22-Sep,control restriction,HFHS restriction,0.018346571414636952
66,22-Sep,HFHS ad lib,control ad lib,0.033418133572602475
67,22-Sep,HFHS ad lib,control restriction,0.003915666832198256
68,22-Sep,HFHS ad lib,HFHS restriction,0.14402966706265563
69,22-Sep,HFHS restriction,control ad lib,0.060752531772436315
70,22-Sep,HFHS restriction,control restriction,0.018346571414636952
71,22-Sep,HFHS restriction,HFHS ad lib,0.14402966706265563
72,23-Sep,control ad lib,control restriction,0.3781507200070347
73,23-Sep,control ad lib,HFHS ad lib,0.03006445564186529
74,23-Sep,control ad lib,HFHS restriction,0.04619146816152361
75,23-Sep,control restriction,control ad lib,0.3781507200070347
76,23-Sep,control restriction,HFHS ad lib,0.007845788586232201
77,23-Sep,control restriction,HFHS restriction,0.014658311964023254
78,23-Sep,HFHS ad lib,control ad lib,0.03006445564186529
79,23-Sep,HFHS ad lib,control restriction,0.007845788586232201
80,23-Sep,HFHS ad lib,HFHS restriction,0.2805253686745562
81,23-Sep,HFHS restriction,control ad lib,0.04619146816152361
82,23-Sep,HFHS restriction,control restriction,0.014658311964023254
83,23-Sep,HFHS restriction,HFHS ad lib,0.2805253686745562
84,24-Sep,control ad lib,control restriction,0.44717724406274717
85,24-Sep,control ad lib,HFHS ad lib,0.026924555167547784
86,24-Sep,control ad lib,HFHS restriction,0.14315563627770828
87,24-Sep,control restriction,control ad lib,0.44717724406274717
88,24-Sep,control restriction,HFHS ad lib,0.013209793940487831
89,24-Sep,control restriction,HFHS restriction,0.07766962724680601
90,24-Sep,HFHS ad lib,control ad lib,0.026924555167547784
91,24-Sep,HFHS ad lib,control restriction,0.013209793940487831
