,statistic,pvalue
Day 2: 18-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-2.107341104937476,0.042770209825122134
Day 3: 19-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-2.3465406703632588,0.02510310178012333
Day 4: 20-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-2.5082409297768797,0.017227760917306677
Day 5: 21-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.1904558837814476,0.0031103744596337937
Day 6: 22-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.3311616930951806,0.002139794830899493
Day 7: 23-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.4749354435686057,0.0014512341245760685
Day 8: 24-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.0205251532166413,0.004844301885985429
Day 9: 25-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.25877284654532,0.0025958432137963682
Day 10: 26-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.6143327670737255,0.0009906176152295507
Day 11: 27-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.4002563814548035,0.0017768443777020483
Day 12: 28-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.5662756038362837,0.001130632743117617
Day 13: 29-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.341239321888407,0.0020827467099924788
Day 14: 30-Sep - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.4954666062024597,0.001372308004567983
Day 15: 1-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.28687993143285,0.00014801769698070944
Day 16: 2-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.434581318144135,9.654457845548662e-05
Day 17: 3-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.8337662834027615,0.0005379452803179107
Day 18: 4-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.174493659183191,0.00020449367781572549
Day 19: 5-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.364398213370028,0.00011832024652981233
Day 20: 6-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.053054962074934,0.00028934259680906836
Day 21: 7-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.0535374687403865,0.00028894525124400236
Day 22: 8-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.8725660093669054,0.00048236766499135954
Day 23: 9-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.14758977900051,0.00022088271421648233
Day 24: 10-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.1624826855567365,0.00021165742353041985
Day 25: 11-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.390525883386716,0.00010969959826118395
Day 26: 12-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.981246866413407,0.0003548419693173985
Day 27: 13-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.938075849864013,0.0004009773020712364
Day 28: 14-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.6970901894174446,0.0007878797717760815
Day 29: 15-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.045902008859139,0.0002952961923247881
Day 30: 16-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.016197446787655,0.00032132894836598287
Day 31: 17-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.02700924443625,0.0003116036451865166
Day 32: 18-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.032106287581357,0.0003071192693904061
Day 33: 19-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.003609591074653,0.0003330262197353467
Day 34: 20-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.820785703272513,0.000557895032706461
Day 35: 21-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7971887842555394,0.0005960209618515905
Day 36: 22-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7942053746280453,0.0006010182013064762
Day 37: 23-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.201022639749417,0.00018950376261612036
Day 38: 24-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.8744276637029755,0.0004798466577265417
Day 39: 25-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.024850962728865,0.0003135217488405022
Day 40: 26-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.328059892027943,0.00013142899085742614
Day 41: 27-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.474513996252601,8.597245883592236e-05
Day 42: 28-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.376383077672472,0.00011428606538420927
Day 43: 29-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.012652056178363,0.00032458222950975676
Day 44: 30-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.50785412649912,7.802767066667097e-05
Day 45: 31-Oct - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.2254277833537905,0.00017666995779382888
Day 46: 1-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.9653717737586356,0.0003711702075000268
Day 47: 2-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7412870981253934,0.0006967326220589647
Day 48: 3-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-4.010532168251413,0.00032654282309463756
Day 49: 4-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7481176134526186,0.0006835923833142584
Day 50: 5-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7334749424981357,0.0007120621322400276
Day 51: 6-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7658754719692027,0.000650547183154491
Day 52: 7-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7364483994562194,0.0007061892037563083
Day 53: 8-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.7581893804324227,0.0006646549895679667
Day 54: 9-Nov - Control AdLib + Control Restricted vs HFHS AdLib + HFHS Restricted,-3.5275064660660322,0.0012573456269277406
