,df,sum_sq,mean_sq,F,PR(>F),group1,group2,meandiff,p-adj,lower,upper,reject
C(Diet),1.0,4959.378524743239,4959.378524743239,14.958557928685012,0.000527028035076785,,,,,,,12-Oct
C(Feeding),1.0,10.6539908892848,10.6539908892848,0.03213474008768064,0.8588987982003221,,,,,,,Day: 26
C(Diet):C(Feeding),1.0,36.875420875418925,36.875420875418925,0.11122424242423655,0.7410000055112489,,,,,,,
Residual,31.0,10277.777777777777,331.5412186379928,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-25.7778,0.0256,-49.0731,-2.4824,True
C(Diet),1.0,5263.311297852484,5263.311297852484,14.713495363790665,0.000575297459554807,,,,,,,13-Oct
C(Feeding),1.0,16.973262032085263,16.973262032085263,0.047448459360438545,0.8289916571405394,,,,,,,Day: 27
C(Diet):C(Feeding),1.0,93.36742424242541,93.36742424242541,0.261007013641872,0.6130485466432264,,,,,,,
Residual,31.0,11089.319444444443,357.71998207885304,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-27.6667,0.0201,-51.8643,-3.4691,True
C(Diet),1.0,4940.343230625595,4940.343230625595,12.949253403241329,0.0010992386305935008,,,,,,,14-Oct
C(Feeding),1.0,25.959992077638915,25.959992077638915,0.06804436454446817,0.7959308597358246,,,,,,,Day: 28
C(Diet):C(Feeding),1.0,74.59638047138,74.59638047138,0.1955263811834754,0.6614260141966891,,,,,,,
Residual,31.0,11826.98611111111,381.5156810035842,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-26.5556,0.0339,-51.545,-1.5661,True
C(Diet),1.0,6157.856302521009,6157.856302521009,15.575111781594407,0.0004237454743624473,,,,,,,15-Oct
C(Feeding),1.0,65.13378886908335,65.13378886908335,0.16474337700595956,0.6876145259626883,,,,,,,Day: 29
C(Diet):C(Feeding),1.0,92.57617845117761,92.57617845117761,0.2341536172417046,0.6318618369959677,,,,,,,
Residual,31.0,12256.319444444443,395.3651433691756,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-29.7778,0.0168,-55.2168,-4.3388,True
C(Diet),1.0,6633.804014939313,6633.804014939313,15.50213850314986,0.00043475201166202963,,,,,,,16-Oct
C(Feeding),1.0,102.42513368984162,102.42513368984162,0.23935114831367102,0.6281190160544459,,,,,,,Day: 30
C(Diet):C(Feeding),1.0,203.87878787878606,203.87878787878606,0.4764321044808807,0.49517854353323243,,,,,,,
Residual,31.0,13265.77777777778,427.9283154121864,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-32.3333,0.0119,-58.7992,-5.8675,True
C(Diet),1.0,7010.478524743242,7010.478524743242,16.09497317628626,0.0003534600823800475,,,,,,,17-Oct
C(Feeding),1.0,437.968805704104,437.968805704104,1.0055085619302793,0.32374463710725015,,,,,,,Day: 31
C(Diet):C(Feeding),1.0,325.18560606060737,325.18560606060737,0.7465757991251468,0.3941991497381091,,,,,,,
Residual,31.0,13502.652777777777,435.56944444444446,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-34.4444,0.0074,-61.1455,-7.7433,True
C(Diet),1.0,7311.37264239031,7311.37264239031,16.25605654293746,0.00033429903527138806,,,,,,,18-Oct
C(Feeding),1.0,502.6746880570442,502.6746880570442,1.1176435057326317,0.2985955758074004,,,,,,,Day: 32
C(Diet):C(Feeding),1.0,395.18560606060464,395.18560606060464,0.8786530069374149,0.3558168326980311,,,,,,,
Residual,31.0,13942.652777777776,449.76299283154117,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-35.6667,0.0062,-62.7993,-8.534,True
C(Diet),1.0,7202.716059757242,7202.716059757242,15.656629719451084,0.00041180166864790196,,,,,,,19-Oct
C(Feeding),1.0,313.41265597148094,313.41265597148094,0.6812688245967827,0.4154569956315456,,,,,,,Day: 33
C(Diet):C(Feeding),1.0,254.09469696969416,254.09469696969416,0.5523286703411592,0.46296321207836266,,,,,,,
Residual,31.0,14261.319444444443,460.0425627240143,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-34.1111,0.0103,-61.5521,-6.6701,True
C(Diet),1.0,7694.6857142857225,7694.6857142857225,15.059519375160669,0.0005084194834519186,,,,,,,20-Oct
C(Feeding),1.0,990.1212121212185,990.1212121212185,1.9377983885702057,0.17381495023114849,,,,,,,Day: 34
C(Diet):C(Feeding),1.0,564.3787878787866,564.3787878787866,1.10456405973941,0.30139087161466405,,,,,,,
Residual,31.0,15839.5,510.9516129032258,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-37.7778,0.0066,-66.6973,-8.8583,True
C(Diet),1.0,7795.029785247451,7795.029785247451,14.619856545613088,0.0005949727023333582,,,,,,,21-Oct
C(Feeding),1.0,984.4928698752259,984.4928698752259,1.8464515113200208,0.1840020772070907,,,,,,,Day: 35
C(Diet):C(Feeding),1.0,327.4090909090899,327.4090909090899,0.6140674343386793,0.4392069198106868,,,,,,,
Residual,31.0,16528.611111111113,533.1810035842294,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-36.1111,0.0118,-65.653,-6.5693,True
C(Diet),1.0,8058.272642390318,8058.272642390318,15.237481849378709,0.0004773090780562671,,,,,,,22-Oct
C(Feeding),1.0,1316.4305803129366,1316.4305803129366,2.4892539584681197,0.12477737717975416,,,,,,,Day: 36
C(Diet):C(Feeding),1.0,761.3741582491534,761.3741582491534,1.4396912876685874,0.23927932651096506,,,,,,,
Residual,31.0,16394.208333333336,528.8454301075269,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-39.7778,0.0048,-69.1993,-10.3563,True
C(Diet),1.0,10927.089075630245,10927.089075630245,19.70461001370777,0.00010643577660300022,,,,,,,23-Oct
C(Feeding),1.0,2030.3806694395025,2030.3806694395025,3.6613464934501567,0.06496237030411542,,,,,,,Day: 37
C(Diet):C(Feeding),1.0,1210.6127946127883,1210.6127946127883,2.1830748180364794,0.14962396230655417,,,,,,,
Residual,31.0,17190.888888888887,554.5448028673834,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-47.2222,0.001,-77.3501,-17.0943,True
C(Diet),1.0,9481.412605042038,9481.412605042038,16.235694135017855,0.0003366585987788595,,,,,,,24-Oct
C(Feeding),1.0,1857.552089522684,1857.552089522684,3.1808179668624263,0.084301452439427,,,,,,,Day: 38
C(Diet):C(Feeding),1.0,882.4511784511774,882.4511784511774,1.5110836348162333,0.22822299812988325,,,,,,,
Residual,31.0,18103.555555555555,583.9856630824372,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-43.1111,0.0035,-74.0284,-12.1938,True
C(Diet),1.0,10249.069000933696,10249.069000933696,17.539670267553728,0.00021603477706130968,,,,,,,25-Oct
C(Feeding),1.0,1792.9317686670668,1792.9317686670668,3.0683208427787334,0.08972111571165055,,,,,,,Day: 39
C(Diet):C(Feeding),1.0,971.1115319865308,971.1115319865308,1.661904711785138,0.20688313560339433,,,,,,,
Residual,31.0,18114.43055555556,584.3364695340503,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-44.8889,0.0023,-75.8155,-13.9623,True
C(Diet),1.0,12094.039309056987,12094.039309056987,20.423432440512904,8.476341407419689e-05,,,,,,,26-Oct
C(Feeding),1.0,1838.7285601109206,1838.7285601109206,3.105095623076415,0.08790707069458636,,,,,,,Day: 40
C(Diet):C(Feeding),1.0,1110.0067340067349,1110.0067340067349,1.8744893216548175,0.18080054352088493,,,,,,,
Residual,31.0,18357.111111111113,592.1648745519714,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-48.5556,0.001,-79.6886,-17.4225,True
C(Diet),1.0,13302.34323062557,13302.34323062557,22.35411886333445,4.676685716342385e-05,,,,,,,27-Oct
C(Feeding),1.0,1936.4313725490256,1936.4313725490256,3.254104658267423,0.08097069478553401,,,,,,,Day: 41
C(Diet):C(Feeding),1.0,1541.8333333333328,1541.8333333333328,2.5909965637808634,0.11761036648680608,,,,,,,
Residual,31.0,18447.27777777778,595.0734767025091,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-52.3333,0.001,-83.5428,-21.1239,True
C(Diet),1.0,12585.630252100827,12585.630252100827,20.059831974538852,9.506772302436296e-05,,,,,,,28-Oct
C(Feeding),1.0,1322.2139037433237,1322.2139037433237,2.1074342891221365,0.1566310024704946,,,,,,,Day: 42
C(Diet):C(Feeding),1.0,913.1856060605977,913.1856060605977,1.4554972180344539,0.23677450766652278,,,,,,,
Residual,31.0,19449.541666666664,627.4045698924731,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-48.2222,0.0016,-80.2683,-16.1762,True
C(Diet),1.0,11869.806255835678,11869.806255835678,17.49895975032033,0.00021900311256613735,,,,,,,29-Oct
C(Feeding),1.0,2328.4611804317774,2328.4611804317774,3.432713862244114,0.07345857871435588,,,,,,,Day: 43
C(Diet):C(Feeding),1.0,971.1115319865299,971.1115319865299,1.4316528210348451,0.24056602178610392,,,,,,,
Residual,31.0,21027.76388888889,678.3149641577062,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-47.5556,0.0028,-80.8764,-14.2347,True
C(Diet),1.0,15876.900093370723,15876.900093370723,24.470140174552142,2.5019055037623604e-05,,,,,,,30-Oct
C(Feeding),1.0,3940.4697959992163,3940.4697959992163,6.073216288735781,0.019470615852651127,,,,,,,Day: 44
C(Diet):C(Feeding),1.0,1729.2630471380535,1729.2630471380535,2.665212284091261,0.11268220827789667,,,,,,,
Residual,31.0,20113.65277777778,648.8275089605736,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-56.8889,0.001,-89.4774,-24.3003,True
C(Diet),1.0,14530.870681605993,14530.870681605993,20.701994159116346,7.767789375429827e-05,,,,,,,31-Oct
C(Feeding),1.0,3746.761834026558,3746.761834026558,5.3379761821020555,0.02768744409512425,,,,,,,Day: 45
C(Diet):C(Feeding),1.0,1351.5420875420853,1351.5420875420853,1.9255292415143686,0.1751430391180122,,,,,,,
Residual,31.0,21759.11111111111,701.9068100358422,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-53.4444,0.001,-87.3398,-19.5491,True
C(Diet),1.0,13297.885714285727,13297.885714285727,17.651651263135456,0.0002080895191909323,,,,,,,1-Nov
C(Feeding),1.0,3269.6094276094336,3269.6094276094336,4.340088839898836,0.045562665125829314,,,,,,,Day: 46
C(Diet):C(Feeding),1.0,1284.5155723905677,1284.5155723905677,1.7050696188151901,0.20123383846205664,,,,,,,
Residual,31.0,23353.875,753.3508064516129,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-51.3333,0.0022,-86.4489,-16.2178,True
C(Diet),1.0,12397.71512605044,12397.71512605044,15.259104946825028,0.00047367015732421733,,,,,,,2-Nov
C(Feeding),1.0,2818.6002178649305,2818.6002178649305,3.4691325046800308,0.07202524300738375,,,,,,,Day: 47
C(Diet):C(Feeding),1.0,1223.495370370369,1223.495370370369,1.5058778225358025,0.22900727190493697,,,,,,,
Residual,31.0,25186.875,812.4798387096774,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-49.6667,0.0044,-86.1342,-13.1991,True
C(Diet),1.0,14710.803361344553,14710.803361344553,17.48212792758562,0.0002202430869540132,,,,,,,3-Nov
C(Feeding),1.0,2756.6028916617197,2756.6028916617197,3.275911125575537,0.08000857521973385,,,,,,,Day: 48
C(Diet):C(Feeding),1.0,1339.501683501677,1339.501683501677,1.591846428436815,0.2164737090551341,,,,,,,
Residual,31.0,26085.777777777774,841.4767025089604,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-53.5556,0.0025,-90.6682,-16.4429,True
C(Diet),1.0,12886.601680672291,12886.601680672291,15.28329158725693,0.00046963496660899274,,,,,,,4-Nov
C(Feeding),1.0,2877.01525054467,2877.01525054467,3.4120914159244284,0.07428445396278391,,,,,,,Day: 49
C(Diet):C(Feeding),1.0,1255.2731481481424,1255.2731481481424,1.4887327179186285,0.2316141916380879,,,,,,,
Residual,31.0,26138.652777777774,843.1823476702508,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-50.5556,0.0045,-87.7058,-13.4053,True
C(Diet),1.0,13003.137348272649,13003.137348272649,14.952818773967142,0.0005281075081443144,,,,,,,5-Nov
C(Feeding),1.0,2578.788770053488,2578.788770053488,2.9654505756700176,0.09502609476672112,,,,,,,Day: 50
C(Diet):C(Feeding),1.0,1248.015151515149,1248.015151515149,1.4351416806537203,0.2400065003098533,,,,,,,
Residual,31.0,26957.944444444445,869.6111111111111,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-50.6667,0.0051,-88.3946,-12.9387,True
C(Diet),1.0,13650.072922502335,13650.072922502335,14.635032932359046,0.0005917355596229563,,,,,,,6-Nov
C(Feeding),1.0,1953.10764507825,1953.10764507825,2.0940397072195585,0.15791197025120754,,,,,,,Day: 51
C(Diet):C(Feeding),1.0,895.9095117845047,895.9095117845047,0.9605564222126007,0.33463404639768335,,,,,,,
Residual,31.0,28913.652777777777,932.698476702509,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-49.7778,0.0083,-88.8503,-10.7053,True
C(Diet),1.0,13885.903361344544,13885.903361344544,14.53873967176712,0.0006125995659196036,,,,,,,7-Nov
C(Feeding),1.0,2015.163497722331,2015.163497722331,2.1099050401713138,0.15639606489029206,,,,,,,Day: 52
C(Diet):C(Feeding),1.0,1199.2188552188525,1199.2188552188525,1.2555993147725082,0.2710918508652445,,,,,,,
Residual,31.0,29608.0,955.0967741935484,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-51.6667,0.0066,-91.2055,-12.1278,True
C(Diet),1.0,14220.381045751636,14220.381045751636,14.792524340459302,0.0005592338002164994,,,,,,,8-Nov
C(Feeding),1.0,2307.380570410004,2307.380570410004,2.4002157987665065,0.1314684003241797,,,,,,,Day: 53
C(Diet):C(Feeding),1.0,1116.8522727272725,1116.8522727272725,1.1617877450584326,0.28941132442662826,,,,,,,
Residual,31.0,29800.986111111113,961.3221326164875,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-51.7778,0.0067,-91.4453,-12.1103,True
C(Diet),1.0,12827.43613445379,12827.43613445379,12.761843005885902,0.0011796211983188373,,,,,,,9-Nov
C(Feeding),1.0,1986.674688057047,1986.674688057047,1.976515821790211,0.16970239191298353,,,,,,,Day: 54
C(Diet):C(Feeding),1.0,872.7272727272742,872.7272727272742,0.8682645795121472,0.3586369063938205,,,,,,,
Residual,31.0,31159.333333333336,1005.1397849462367,,,,,,,,,
,,,,,,HFHS restriction,control restriction,-48.4444,0.0143,-89.0059,-7.883,True
