,Day,group1,group2,p_value
0,18-Sep,control restriction,HFHS ad lib,0.036811086791971204
1,19-Sep,control restriction,HFHS ad lib,0.037167770961247924
2,20-Sep,control restriction,HFHS ad lib,0.026335713107882863
3,21-Sep,control ad lib,HFHS ad lib,0.037078584142414085
4,21-Sep,control restriction,HFHS ad lib,0.011360270219492725
5,21-Sep,control restriction,HFHS restriction,0.006099870580000317
6,22-Sep,control ad lib,HFHS ad lib,0.033418133572602475
7,22-Sep,control restriction,HFHS ad lib,0.003915666832198256
8,22-Sep,control restriction,HFHS restriction,0.018346571414636952
9,23-Sep,control ad lib,HFHS ad lib,0.03006445564186529
10,23-Sep,control ad lib,HFHS restriction,0.04619146816152361
11,23-Sep,control restriction,HFHS ad lib,0.007845788586232201
12,23-Sep,control restriction,HFHS restriction,0.014658311964023254
13,24-Sep,control ad lib,HFHS ad lib,0.026924555167547784
14,24-Sep,control restriction,HFHS ad lib,0.013209793940487831
15,25-Sep,control ad lib,HFHS ad lib,0.021525911146651096
16,25-Sep,control restriction,HFHS ad lib,0.0029108032666109026
17,25-Sep,control restriction,HFHS restriction,0.025787184885813427
18,26-Sep,control ad lib,HFHS ad lib,0.01042147003853218
19,26-Sep,control ad lib,HFHS restriction,0.03150307681840539
20,26-Sep,control restriction,HFHS ad lib,0.011487112214912063
21,26-Sep,control restriction,HFHS restriction,0.020652888402933646
22,27-Sep,control ad lib,HFHS ad lib,0.023994484114852867
23,27-Sep,control ad lib,HFHS restriction,0.028557675889619518
24,27-Sep,control restriction,HFHS restriction,0.02530398283235468
25,28-Sep,control ad lib,HFHS ad lib,0.018570063117197645
26,28-Sep,control ad lib,HFHS restriction,0.012023830554311355
27,28-Sep,control restriction,HFHS ad lib,0.02385705078803809
28,29-Sep,control ad lib,HFHS ad lib,0.033250270298456015
29,29-Sep,control ad lib,HFHS restriction,0.02307526716369694
30,29-Sep,control restriction,HFHS ad lib,0.03358607109209311
31,29-Sep,control restriction,HFHS restriction,0.020917665654327566
32,30-Sep,control ad lib,HFHS ad lib,0.016857381430781786
33,30-Sep,control ad lib,HFHS restriction,0.01487059570459295
34,30-Sep,control restriction,HFHS ad lib,0.03014327315226501
35,30-Sep,control restriction,HFHS restriction,0.02097071576470926
36,1-Oct,control ad lib,HFHS ad lib,0.005362591381958515
37,1-Oct,control ad lib,HFHS restriction,0.00954835067432986
38,1-Oct,control restriction,HFHS ad lib,0.00297200107466244
39,1-Oct,control restriction,HFHS restriction,0.006566341263717257
40,2-Oct,control ad lib,HFHS ad lib,0.00700998700314939
41,2-Oct,control ad lib,HFHS restriction,0.010740598434360926
42,2-Oct,control restriction,HFHS ad lib,0.002204064520445233
43,2-Oct,control restriction,HFHS restriction,0.0030569057005338618
44,3-Oct,control ad lib,HFHS restriction,0.021076909589827893
45,3-Oct,control restriction,HFHS ad lib,0.005314515925812627
46,3-Oct,control restriction,HFHS restriction,0.01680412984845723
47,4-Oct,control ad lib,HFHS ad lib,0.010187470152601526
48,4-Oct,control ad lib,HFHS restriction,0.006518988510966489
49,4-Oct,control restriction,HFHS ad lib,0.004644020353592392
50,4-Oct,control restriction,HFHS restriction,0.00850197092750677
51,5-Oct,control ad lib,HFHS ad lib,0.014887619863968159
52,5-Oct,control ad lib,HFHS restriction,0.008331481122773467
53,5-Oct,control restriction,HFHS ad lib,0.0019135477960123604
54,5-Oct,control restriction,HFHS restriction,0.003986926134027952
55,6-Oct,control ad lib,HFHS ad lib,0.010265243256891682
56,6-Oct,control ad lib,HFHS restriction,0.017034597572071968
57,6-Oct,control restriction,HFHS restriction,0.006709328960248736
58,7-Oct,control ad lib,HFHS ad lib,0.008808617739624857
59,7-Oct,control ad lib,HFHS restriction,0.010774377668498517
60,7-Oct,control restriction,HFHS ad lib,0.0029413154440729706
61,7-Oct,control restriction,HFHS restriction,0.005880880316079937
62,8-Oct,control ad lib,HFHS ad lib,0.02699830928378356
63,8-Oct,control ad lib,HFHS restriction,0.015169394704348298
64,8-Oct,control restriction,HFHS ad lib,0.006123906016451099
65,8-Oct,control restriction,HFHS restriction,0.006685401185413613
66,9-Oct,control ad lib,HFHS ad lib,0.015039276538875625
67,9-Oct,control ad lib,HFHS restriction,0.011914274261315494
68,9-Oct,control restriction,HFHS ad lib,0.0034746124522311503
