,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,group
2,0.0,501.0,1090.0,0.0,1169.0,25.0,0.0,82.0,395.0,1632.0,62.0,66.0,0.0,509.0,0.0,0.0,0.0,582.0,0.0,2.0,0.0,378.0,0.0,648.0,control ad lib
3,385.0,584.0,91.0,265.0,419.0,387.0,326.0,0.0,0.0,431.0,430.0,0.0,37.0,63.0,0.0,163.0,118.0,47.0,0.0,107.0,330.0,173.0,0.0,33.0,control ad lib
4,701.0,70.0,212.0,0.0,79.0,648.0,0.0,0.0,0.0,1066.0,557.0,654.0,0.0,534.0,489.0,0.0,0.0,0.0,335.0,0.0,587.0,59.0,596.0,0.0,control ad lib
5,461.0,381.0,600.0,53.0,0.0,0.0,0.0,300.0,76.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,209.0,322.0,0.0,0.0,control ad lib
6,0.0,650.0,1062.0,398.0,394.0,314.0,562.0,0.0,38.0,127.0,404.0,0.0,21.0,764.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,484.0,0.0,401.0,control ad lib
7,435.0,1114.0,495.0,1065.0,76.0,0.0,0.0,0.0,634.0,825.0,17.0,0.0,56.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,525.0,0.0,526.0,control ad lib
8,717.0,593.0,0.0,404.0,56.0,757.0,41.0,124.0,0.0,587.0,57.0,47.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,control ad lib
9,272.0,813.0,532.0,202.0,0.0,0.0,464.0,384.0,9.0,0.0,0.0,,,,336.0,763.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,control ad lib
10,0.0,0.0,345.0,1075.0,0.0,40.0,0.0,42.0,22.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
11,0.0,0.0,72.0,101.0,0.0,163.0,78.0,0.0,23.0,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
12,0.0,0.0,895.0,179.0,71.0,576.0,82.0,51.0,117.0,104.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
13,0.0,0.0,1808.0,249.0,10.0,0.0,0.0,26.0,36.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
14,0.0,0.0,,1021.0,59.0,885.0,0.0,0.0,260.0,585.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
15,0.0,0.0,135.0,238.0,235.0,435.0,0.0,162.0,72.0,197.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
16,0.0,0.0,686.0,445.0,79.0,50.0,302.0,304.0,184.0,159.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
17,0.0,0.0,1547.0,1664.0,1489.0,505.0,531.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
18,0.0,0.0,,25.0,43.0,66.0,93.0,94.0,503.0,315.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,control restriction
21,108.0,190.0,709.0,0.0,137.0,470.0,205.0,191.0,0.0,240.0,52.0,324.0,30.0,0.0,35.0,51.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,HFHS ad lib
22,280.0,306.0,686.0,0.0,580.0,5.0,0.0,42.0,370.0,52.0,455.0,0.0,0.0,0.0,74.0,375.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,HFHS ad lib
23,46.0,1318.0,62.0,0.0,98.0,59.0,15.0,0.0,165.0,0.0,218.0,892.0,252.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,HFHS ad lib
26,27.0,0.0,0.0,0.0,75.0,388.0,111.0,18.0,67.0,87.0,5.0,0.0,33.0,0.0,0.0,0.0,9.0,47.0,0.0,0.0,0.0,299.0,0.0,0.0,HFHS ad lib
27,130.0,641.0,60.0,0.0,31.0,105.0,0.0,56.0,2.0,308.0,24.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,64.0,HFHS ad lib
29,0.0,0.0,488.0,427.0,144.0,110.0,98.0,170.0,225.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
30,0.0,0.0,103.0,242.0,406.0,0.0,102.0,312.0,21.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
31,0.0,0.0,176.0,235.0,401.0,191.0,302.0,85.0,71.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
32,0.0,0.0,188.0,3.0,280.0,0.0,0.0,0.0,20.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
33,0.0,0.0,210.0,145.0,195.0,200.0,19.0,6.0,13.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
35,0.0,0.0,1096.0,247.0,0.0,31.0,82.0,100.0,49.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
36,0.0,0.0,1163.0,0.0,45.0,0.0,0.0,168.0,88.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
