,gene,group1,group2,p_value
0,CART,control ad lib,control restriction,0.12507650397969117
1,CART,control ad lib,HFHS ad lib,0.3085375387259869
2,CART,control ad lib,HFHS restriction,0.41516212882789766
3,CART,control restriction,control ad lib,0.12507650397969117
4,CART,control restriction,HFHS ad lib,0.14198838587545587
5,CART,control restriction,HFHS restriction,0.17655561725300278
6,CART,HFHS ad lib,control ad lib,0.3085375387259869
7,CART,HFHS ad lib,control restriction,0.14198838587545587
8,CART,HFHS ad lib,HFHS restriction,0.40509061820523684
9,CART,HFHS restriction,control ad lib,0.41516212882789766
10,CART,HFHS restriction,control restriction,0.17655561725300278
11,CART,HFHS restriction,HFHS ad lib,0.40509061820523684
12,NPY,control ad lib,control restriction,0.3046400796520514
13,NPY,control ad lib,HFHS ad lib,0.41516212882789766
14,NPY,control ad lib,HFHS restriction,0.08736791160762358
15,NPY,control restriction,control ad lib,0.3046400796520514
16,NPY,control restriction,HFHS ad lib,0.11231931946189022
17,NPY,control restriction,HFHS restriction,0.02689204443119914
18,NPY,HFHS ad lib,control ad lib,0.41516212882789766
19,NPY,HFHS ad lib,control restriction,0.11231931946189022
20,NPY,HFHS ad lib,HFHS restriction,0.1489765308040839
21,NPY,HFHS restriction,control ad lib,0.08736791160762358
22,NPY,HFHS restriction,control restriction,0.02689204443119914
23,NPY,HFHS restriction,HFHS ad lib,0.1489765308040839
24,AgRP,control ad lib,control restriction,0.3046400796520514
25,AgRP,control ad lib,HFHS ad lib,0.47152833548352147
26,AgRP,control ad lib,HFHS restriction,0.3604924309508354
27,AgRP,control restriction,control ad lib,0.3046400796520514
28,AgRP,control restriction,HFHS ad lib,0.3604924309508354
29,AgRP,control restriction,HFHS restriction,0.47152833548352147
30,AgRP,HFHS ad lib,control ad lib,0.47152833548352147
31,AgRP,HFHS ad lib,control restriction,0.3604924309508354
32,AgRP,HFHS ad lib,HFHS restriction,0.40509061820523684
33,AgRP,HFHS restriction,control ad lib,0.3604924309508354
34,AgRP,HFHS restriction,control restriction,0.47152833548352147
35,AgRP,HFHS restriction,HFHS ad lib,0.40509061820523684
36,GLP1R,control ad lib,control restriction,0.5
37,GLP1R,control ad lib,HFHS ad lib,0.06680720126885807
38,GLP1R,control ad lib,HFHS restriction,0.21601744600250378
39,GLP1R,control restriction,control ad lib,0.5
40,GLP1R,control restriction,HFHS ad lib,0.013404565357797922
41,GLP1R,control restriction,HFHS restriction,0.11231931946189022
42,GLP1R,HFHS ad lib,control ad lib,0.06680720126885807
43,GLP1R,HFHS ad lib,control restriction,0.013404565357797922
44,GLP1R,HFHS ad lib,HFHS restriction,0.28758676596009836
45,GLP1R,HFHS restriction,control ad lib,0.21601744600250378
46,GLP1R,HFHS restriction,control restriction,0.11231931946189022
47,GLP1R,HFHS restriction,HFHS ad lib,0.28758676596009836
48,Npy2R,control ad lib,control restriction,0.18554668476134878
